ESTADO,MUNICIPIO,LATITUD,LONGITUD
AGUASCALIENTES,PENSIONISSSTE,21.878866,-102.292733
AGUASCALIENTES,Nuevo CAP,21.98639118,-102.2952408
BAJA CALIFORNIA,PENSIONISSSTE,32.494921,-116.935152
BAJA CALIFORNIA,PENSIONISSSTE,32.641806,-115.452342
BAJA CALIFORNIA,Nuevo CAP,32.38588277,-116.4808403
BAJA CALIFORNIA SUR,PENSIONISSSTE,24.148436,-110.305273
BAJA CALIFORNIA SUR,Nuevo CAP,24.10437444,-110.3708316
CAMPECHE,PENSIONISSSTE,19.8537408,-90.5283937
CAMPECHE,Nuevo CAP,19.43355762,-90.70308246
CDMX,PENSIONISSSTE,19.3167491,-99.1237739
CDMX,PENSIONISSSTE,19.444842,-99.151902
CDMX,PENSIONISSSTE,19.4136232,-99.1813129
CDMX,PENSIONISSSTE,19.384393,-99.148584
CDMX,PENSIONISSSTE,19.3574074,-99.1987345
CDMX,PENSIONISSSTE,19.380642,-99.1216493
CDMX,PENSIONISSSTE,19.3286155,-99.1086078
CDMX,Nuevo CAP,19.38863402,-99.14500368
CHIAPAS,PENSIONISSSTE,14.8993629,-92.2495908
CHIAPAS,PENSIONISSSTE,16.7513094,-93.1069386
CHIAPAS,Nuevo CAP,16.40578641,-92.65811167
CHIHUAHUA,PENSIONISSSTE,31.7349424,-106.4435867
CHIHUAHUA,PENSIONISSSTE,28.6180364,-106.1034114
CHIHUAHUA,Nuevo CAP,28.98561502,-106.4414735
COAHUILA,PENSIONISSSTE,25.446294,-100.994901
COAHUILA,Nuevo CAP,26.7533574,-101.6915627
COLIMA,PENSIONISSSTE,19.272548,-103.734967
COLIMA,Nuevo CAP,19.1708211,-103.8879396
DURANGO,PENSIONISSSTE,25.5545574,-103.508086
DURANGO,PENSIONISSSTE,24.021162,-104.671233
DURANGO,Nuevo CAP,24.8029997,-104.5731757
ESTADO DE MÉXICO,PENSIONISSSTE,19.641655,-99.135953
ESTADO DE MÉXICO,PENSIONISSSTE,19.68572,-99.213646
ESTADO DE MÉXICO,PENSIONISSSTE,19.6044288,-99.0123901
ESTADO DE MÉXICO,PENSIONISSSTE,19.2922765,-99.6233734
ESTADO DE MÉXICO,PENSIONISSSTE,19.3572844,-99.1984595
ESTADO DE MÉXICO,Nuevo CAP,19.44716548,-99.28291274
GUANAJUATO,PENSIONISSSTE,20.532269,-100.827153
GUANAJUATO,PENSIONISSSTE,21.1050246,-101.6581152
GUANAJUATO,Nuevo CAP,20.74717224,-101.1499664
GUERRERO,PENSIONISSSTE,16.85402,-99.857197
GUERRERO,Nuevo CAP,17.56976977,-99.57797883
HIDALGO,PENSIONISSSTE,20.116257,-98.742239
HIDALGO,Nuevo CAP,20.32220774,-98.83614802
JALISCO,PENSIONISSSTE,20.6630626,-103.2965445
JALISCO,PENSIONISSSTE,20.684962,-103.347374
JALISCO,Nuevo CAP,20.5488303,-103.4505057
MICHOACÁN,PENSIONISSSTE,19.728099,-101.223281
MICHOACÁN,Nuevo CAP,19.562794,-101.7355739
MORELOS,PENSIONISSSTE,18.924411,-99.217665
MORELOS,Nuevo CAP,18.81797011,-99.10251121
NAYARIT,PENSIONISSSTE,21.507202,-104.900549
NAYARIT,Nuevo CAP,21.5917088,-104.9216451
NUEVO LEÓN,PENSIONISSSTE,25.7001902,-100.3093165
NUEVO LEÓN,PENSIONISSSTE,25.671223,-100.337619
NUEVO LEÓN,Nuevo CAP,25.67333113,-100.1376279
OAXACA,PENSIONISSSTE,17.077156,-96.706945
OAXACA,Nuevo CAP,17.09155645,-96.83146605
PUEBLA,PENSIONISSSTE,19.051696,-98.213072
PUEBLA,Nuevo CAP,19.10577032,-97.93212061
QUERÉTARO,PENSIONISSSTE,20.394178,-99.984535
QUERÉTARO,PENSIONISSSTE,20.593007,-100.406277
QUERÉTARO,Nuevo CAP,20.64148132,-100.132212
QUINTANA ROO,PENSIONISSSTE,18.493589,-88.29624
QUINTANA ROO,PENSIONISSSTE,21.153982,-86.838344
QUINTANA ROO,Nuevo CAP,20.28379442,-87.37340937
SAN LUIS POTOSÍ,PENSIONISSSTE,21.9873727,-99.0108345
SAN LUIS POTOSÍ,PENSIONISSSTE,22.150445,-100.987531
SAN LUIS POTOSÍ,Nuevo CAP,22.21218006,-100.1462251
SINALOA,PENSIONISSSTE,24.819809,-107.408358
SINALOA,Nuevo CAP,24.75826611,-107.5818553
SONORA,PENSIONISSSTE,29.0680158,-110.9578327
SONORA,PENSIONISSSTE,27.4814187,-109.9272276
SONORA,Nuevo CAP,29.49522366,-110.6716619
TABASCO,PENSIONISSSTE,18.000466,-92.925871
,Nuevo CAP,17.95592724,-92.83137606
TAMAULIPAS,PENSIONISSSTE,26.073754,-98.318685
TAMAULIPAS,PENSIONISSSTE,23.732046,-99.130071
TAMAULIPAS,Nuevo CAP,24.5115467,-98.50098751
TLAXCALA,PENSIONISSSTE,19.3246045,-98.2339656
TLAXCALA,Nuevo CAP,19.33862045,-98.18579392
VERACRUZ,PENSIONISSSTE,18.1425219,-94.4848837
VERACRUZ,PENSIONISSSTE,19.5607808,-96.9290164
VERACRUZ,Nuevo CAP,19.28858134,-96.56321597
YUCATÁN,PENSIONISSSTE,20.9927598,-89.6115249
YUCATÁN,Nuevo CAP,20.84421577,-89.18219903
ZACATECAS,PENSIONISSSTE,22.743022,-102.497195
ZACATECAS,Nuevo CAP,22.69681317,-102.7541132
